areaCode,areaName,areaType,date,newReinfectionsBySpecimenDate
E12000002,North West,region,2021-09-12,39
E12000002,North West,region,2021-09-11,33
E12000002,North West,region,2021-09-10,47
E12000002,North West,region,2021-09-09,40
E12000002,North West,region,2021-09-08,73
E12000002,North West,region,2021-09-07,48
E12000002,North West,region,2021-09-06,58
E12000002,North West,region,2021-09-05,42
E12000002,North West,region,2021-09-04,39
E12000002,North West,region,2021-09-03,56
E12000002,North West,region,2021-09-02,69
E12000002,North West,region,2021-09-01,65
E12000002,North West,region,2021-08-31,61
E12000002,North West,region,2021-08-30,50
E12000002,North West,region,2021-08-29,31
E12000002,North West,region,2021-08-28,30
E12000002,North West,region,2021-08-27,45
E12000002,North West,region,2021-08-26,62
E12000002,North West,region,2021-08-25,46
E12000002,North West,region,2021-08-24,56
E12000002,North West,region,2021-08-23,53
E12000002,North West,region,2021-08-22,28
E12000002,North West,region,2021-08-21,22
E12000002,North West,region,2021-08-20,43
E12000002,North West,region,2021-08-19,52
E12000002,North West,region,2021-08-18,46
E12000002,North West,region,2021-08-17,49
E12000002,North West,region,2021-08-16,66
E12000002,North West,region,2021-08-15,47
E12000002,North West,region,2021-08-14,25
E12000002,North West,region,2021-08-13,47
E12000002,North West,region,2021-08-12,51
E12000002,North West,region,2021-08-11,51
E12000002,North West,region,2021-08-10,60
E12000002,North West,region,2021-08-09,74
E12000002,North West,region,2021-08-08,43
E12000002,North West,region,2021-08-07,43
E12000002,North West,region,2021-08-06,56
E12000002,North West,region,2021-08-05,40
E12000002,North West,region,2021-08-04,59
E12000002,North West,region,2021-08-03,45
E12000002,North West,region,2021-08-02,56
E12000002,North West,region,2021-08-01,32
E12000002,North West,region,2021-07-31,29
E12000002,North West,region,2021-07-30,40
E12000002,North West,region,2021-07-29,54
E12000002,North West,region,2021-07-28,42
E12000002,North West,region,2021-07-27,49
E12000002,North West,region,2021-07-26,52
E12000002,North West,region,2021-07-25,38
E12000002,North West,region,2021-07-24,45
E12000002,North West,region,2021-07-23,45
E12000002,North West,region,2021-07-22,50
E12000002,North West,region,2021-07-21,61
E12000002,North West,region,2021-07-20,78
E12000002,North West,region,2021-07-19,99
E12000002,North West,region,2021-07-18,68
E12000002,North West,region,2021-07-17,55
E12000002,North West,region,2021-07-16,99
E12000002,North West,region,2021-07-15,121
E12000002,North West,region,2021-07-14,103
E12000002,North West,region,2021-07-13,103
